Group,Year,Sex,Polk,Site,Cancer,p
White,2003-2007,Male and Female,Polk County,All Sites,491.10,
Black,2003-2007,Male and Female,Polk County,All Sites,580.10,0.0022
American Indian/Alaska Native,2003-2007,Male and Female,Polk County,All Sites,453.60,0.8709
Asian or Pacific Islander,2003-2007,Male and Female,Polk County,All Sites,337.20,0.0002
Hispanic,2003-2007,Male and Female,Polk County,All Sites,384.20,0.0103
White,2003-2007,Male,Polk County,All Sites,556.60,
Black,2003-2007,Male,Polk County,All Sites,779.70,0.0000
American Indian/Alaska Native,2003-2007,Male,Polk County,All Sites,374.30,0.3968
Asian or Pacific Islander,2003-2007,Male,Polk County,All Sites,459.30,0.2458
Hispanic,2003-2007,Male,Polk County,All Sites,374.10,0.0047
White,2003-2007,Female,Polk County,All Sites,452.70,
Black,2003-2007,Female,Polk County,All Sites,445.80,0.8730
American Indian/Alaska Native,2003-2007,Female,Polk County,All Sites,586.70,0.7102
Asian or Pacific Islander,2003-2007,Female,Polk County,All Sites,276.30,0.0002
Hispanic,2003-2007,Female,Polk County,All Sites,401.00,0.3671
White,2008-2012,Male and Female,Polk County,All Sites,501.40,
Black,2008-2012,Male and Female,Polk County,All Sites,546.00,0.0985
American Indian/Alaska Native,2008-2012,Male and Female,Polk County,All Sites,335.30,0.2299
Asian or Pacific Islander,2008-2012,Male and Female,Polk County,All Sites,272.20,0.0000
Hispanic,2008-2012,Male and Female,Polk County,All Sites,333.80,0.0000
White,2008-2012,Male,Polk County,All Sites,559.90,
Black,2008-2012,Male,Polk County,All Sites,636.20,0.0988
American Indian/Alaska Native,2008-2012,Male,Polk County,All Sites,537.30,0.9948
Asian or Pacific Islander,2008-2012,Male,Polk County,All Sites,348.20,0.0003
Hispanic,2008-2012,Male,Polk County,All Sites,350.30,0.0002
White,2008-2012,Female,Polk County,All Sites,465.90,
Black,2008-2012,Female,Polk County,All Sites,491.40,0.4689
American Indian/Alaska Native,2008-2012,Female,Polk County,All Sites,240.30,0.2309
Asian or Pacific Islander,2008-2012,Female,Polk County,All Sites,210.80,0.0000
Hispanic,2008-2012,Female,Polk County,All Sites,326.20,0.0011
White,2013-2017,Male and Female,Polk County,All Sites,476.90,
Black,2013-2017,Male and Female,Polk County,All Sites,596.90,0.0000
American Indian/Alaska Native,2013-2017,Male and Female,Polk County,All Sites,639.90,0.2761
Asian or Pacific Islander,2013-2017,Male and Female,Polk County,All Sites,391.90,0.0077
Hispanic,2013-2017,Male and Female,Polk County,All Sites,392.80,0.0107
White,2013-2017,Male,Polk County,All Sites,527.70,
Black,2013-2017,Male,Polk County,All Sites,659.70,0.0039
American Indian/Alaska Native,2013-2017,Male,Polk County,All Sites,607.20,0.7887
Asian or Pacific Islander,2013-2017,Male,Polk County,All Sites,426.40,0.0523
Hispanic,2013-2017,Male,Polk County,All Sites,394.80,0.0095
White,2013-2017,Female,Polk County,All Sites,445.10,
