Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,All Sites,491.1,5.4,480.6,501.8,"8,405",,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,All Sites,580.1,29.8,523,641.2,401,1.181,1.0625,1.3087,0.0022,"115,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,All Sites,453.6,137.4,225.5,797.6,17,0.9235,0.459,1.6248,0.8709,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,All Sites,337.2,35.9,270.4,414.2,121,0.6865,0.55,0.8443,0.0002,"67,567",1
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,All Sites,384.2,37.7,313.9,464,152,0.7822,0.6385,0.946,0.0103,"120,193",1
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,All Sites,556.6,8.9,539.2,574.4,"4,066",,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,All Sites,779.7,56.4,673.1,897.2,230,1.4008,1.2051,1.6178,0.0000,"57,878",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,All Sites,374.3,134.7,158.6,786.6,9,0.6724,0.2848,1.4145,0.3968,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,All Sites,459.3,76.3,322.1,628,57,0.8251,0.5777,1.1303,0.2458,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,All Sites,374.1,54.3,275.4,495.7,67,0.672,0.4939,0.8923,0.0047,"64,203",1
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,All Sites,452.7,7,439.2,466.5,"4,339",,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,All Sites,445.8,34.8,380.3,518.7,171,0.9847,0.8375,1.1493,0.8730,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,All Sites,586.7,274.2,178.3,"1,327.80",8,1.296,0.3938,2.9353,0.7102,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,All Sites,276.3,38.5,206,362.3,64,0.6103,0.4542,0.8018,0.0002,"34,318",1
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,All Sites,401.0,52.6,304.6,515.2,85,0.8859,0.6716,1.1403,0.3671,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,All Sites,501.4,5.3,491.1,511.8,"9,402",,,,,"1,764,762",
